awardYear,category,gender,fullName,laureateType,gender,birthCountryNow
1901,Chemistry,male,Jacobus Henricus van 't Hoff,Individual,male,Netherlands
1901,Literature,male,Sully Prudhomme,Individual,male,France
1901,Peace,male,FrÇdÇricˇPassy,Individual,male,France
1901,Peace,male,Jean Henry Dunant,Individual,male,Switzerland
1901,Physics,male,Wilhelm Conrad Rîntgen,Individual,male,Germany
1901,Physiology or Medicine,male,Emil Adolf von Behring,Individual,male,Poland
1902,Chemistry,male,Hermann Emil Fischer,Individual,male,Germany
1902,Literature,male,Christian Matthias Theodor Mommsen,Individual,male,Germany
1902,Peace,male,Charles Albert Gobat,Individual,male,Switzerland
1902,Peace,male,êlie Ducommun,Individual,male,Switzerland
1902,Physics,male,Hendrik Antoon Lorentz,Individual,male,Netherlands
1902,Physics,male,Pieter Zeeman,Individual,male,Netherlands
1902,Physiology or Medicine,male,Ronald Ross,Individual,male,India
1903,Chemistry,male,Svante August Arrhenius,Individual,male,Sweden
1903,Literature,male,Bjîrnson Bjîrnstjerne Martinus,Individual,male,Norway
1903,Peace,male,William Randal Cremer,Individual,male,United Kingdom
1903,Physics,male,Antoine Henri Becquerel,Individual,male,France
1903,Physics,female,MarieˇSalomeaˇSk?odowska?Curie,Individual,female,Poland
1903,Physics,male,Pierre Curie,Individual,male,France
1903,Physiology or Medicine,male,Niels Ryberg Finsen,Individual,male,Faroe Islands (Denmark)
1904,Chemistry,male,Sir William Ramsay,Individual,male,Scotland
1904,Literature,male,Joseph êtienne FrÇdÇric Mistral,Individual,male,France
1904,Literature,male,JosÇ Echegaray,Individual,male,Spain
1904,Peace,,,Organization,,
1904,Physics,male,Lord Rayleigh (John William Strutt),Individual,male,United Kingdom
1904,Physiology or Medicine,male,Ivan Petrovich Pavlov,Individual,male,Russia
1905,Chemistry,male,Johann Friedrich Wilhelm Adolf von Baeyer,Individual,male,Germany
1905,Literature,male,Henryk Sienkiewicz,Individual,male,Poland
1905,Peace,female,"Baroness Bertha Sophie Felicita von Suttner, n??e Countess Kinsky von Chinic und Tettau",Individual,female,Czech Republic
1905,Physics,male,Philipp Eduard Anton von Lenard,Individual,male,Slovakia
1905,Physiology or Medicine,male,Robert Koch,Individual,male,Germany
1906,Chemistry,male,Henri Moissan,Individual,male,France
1906,Literature,male,Giosuä Carducci,Individual,male,Italy
1906,Peace,male,Theodore Roosevelt Jr,Individual,male,United States of America
1906,Physics,male,Joseph John Thomson,Individual,male,United Kingdom
1906,Physiology or Medicine,male,Camillo Golgi,Individual,male,Italy
1906,Physiology or Medicine,male,Santiago Ram¢n y Cajal,Individual,male,Spain
1907,Chemistry,male,Eduard Buchner,Individual,male,Germany
1907,Literature,male,Rudyard Kipling,Individual,male,India
1907,Peace,male,Ernesto Teodoro Moneta,Individual,male,Italy
1907,Peace,male,Louis Renault,Individual,male,France
1907,Physics,male,Albert Abraham Michelson,Individual,male,Poland
1907,Physiology or Medicine,male,Charles Louis Alphonse Laveran,Individual,male,France
1908,Chemistry,male,Ernest Rutherford,Individual,male,New Zealand
1908,Literature,male,Rudolf Christoph Eucken,Individual,male,Germany
1908,Peace,male,Fredrik Bajer,Individual,male,Denmark
1908,Peace,male,Klas Pontus Arnoldson,Individual,male,Sweden
1908,Physics,male,Gabriel Lippmann,Individual,male,Luxembourg
1908,Physiology or Medicine,male,Ilya Ilyich Mechnikov,Individual,male,Ukraine
1908,Physiology or Medicine,male,Paul Ehrlich,Individual,male,Poland
1909,Chemistry,male,Wilhelm Ostwald,Individual,male,Latvia
1909,Literature,female,Selma Ottilia Lovisa Lagerlîf,Individual,female,Sweden
1909,Peace,male,Auguste Marie Franáois Beernaert,Individual,male,Belgium
1909,Peace,male,Paul Henri Balluet d'Estournelles de Constant,Individual,male,France
1909,Physics,male,Karl Ferdinand Braun,Individual,male,Germany
1909,Physics,male,Guglielmo Marconi,Individual,male,Italy
1909,Physiology or Medicine,male,Emil Theodor Kocher,Individual,male,Switzerland
1910,Chemistry,male,Otto Wallach,Individual,male,Russia
1910,Literature,male,Paul Johann Ludwig Heyse,Individual,male,Germany
1910,Peace,,,Organization,,
1910,Physics,male,Johannes Diderik van der Waals,Individual,male,Netherlands
1910,Physiology or Medicine,male,Albrecht Kossel,Individual,male,Germany
1911,Chemistry,female,MarieˇSalomeaˇSk?odowska?Curie,Individual,female,Poland
1911,Literature,male,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Individual,male,Belgium
1911,Peace,male,Alfred Hermann Fried,Individual,male,Austria
1911,Peace,male,Tobias Michael Carel Asser,Individual,male,Netherlands
1911,Physics,male,Wilhelm Wien,Individual,male,Russia
1911,Physiology or Medicine,male,Allvar Gullstrand,Individual,male,Sweden
1912,Chemistry,male,Paul Sabatier,Individual,male,France
1912,Chemistry,male,Victor Grignard,Individual,male,France
1912,Literature,male,Gerhart Johann Robert Hauptmann,Individual,male,Poland
1912,Peace,male,Elihu Root,Individual,male,United States of America
1912,Physics,male,Nils Gustaf Dal??n,Individual,male,Sweden
1912,Physiology or Medicine,male,Alexis Carrel,Individual,male,France
1913,Chemistry,male,Alfred Werner,Individual,male,France
1913,Literature,male,Rabindranath Tagore,Individual,male,India
1913,Peace,male,Henri La Fontaine,Individual,male,Belgium
1913,Physics,male,Heike Kamerlingh Onnes,Individual,male,Netherlands
1913,Physiology or Medicine,male,Charles Robert Richet,Individual,male,France
1914,Chemistry,male,Theodore William Richards,Individual,male,United States of America
1914,Physics,male,Max von Laue,Individual,male,Germany
1914,Physiology or Medicine,male,Robert B?≠r?≠ny,Individual,male,Austria
1915,Chemistry,male,Richard Martin Willst??tter,Individual,male,Germany
1915,Literature,male,Romain Rolland,Individual,male,France
1915,Physics,male,William Lawrence Bragg,Individual,male,Australia
1915,Physics,male,Sir William Henry Bragg,Individual,male,United Kingdom
1916,Literature,male,Carl Gustaf Verner von Heidenstam,Individual,male,Sweden
1917,Literature,male,Henrik Pontoppidan,Individual,male,Denmark
1917,Literature,male,Karl Adolph Gjellerup,Individual,male,Denmark
1917,Peace,,,Organization,,
1917,Physics,male,Charles Glover Barkla,Individual,male,United Kingdom
1918,Chemistry,male,Fritz Haber,Individual,male,Poland
1918,Physics,male,Max Karl Ernst Ludwig Planck,Individual,male,Germany
1919,Literature,male,Carl Friedrich Georg Spitteler,Individual,male,Switzerland
1919,Peace,male,Thomas Woodrow Wilson,Individual,male,United States of America
1919,Physics,male,Johannes Stark,Individual,male,Germany
1919,Physiology or Medicine,male,Jules Bordet,Individual,male,Belgium
1920,Chemistry,male,Walther Hermann Nernst,Individual,male,Germany
1920,Literature,male,Knut Pedersen Hamsun,Individual,male,Norway
1920,Peace,male,L??on Victor Auguste Bourgeois,Individual,male,France
1920,Physics,male,Charles Edouard Guillaume,Individual,male,Switzerland
1920,Physiology or Medicine,male,Schack August Steenberg Krogh,Individual,male,Denmark
1921,Chemistry,male,Frederick Soddy,Individual,male,United Kingdom
1921,Literature,male,Anatole France,Individual,male,France
1921,Peace,male,Christian Lous Lange,Individual,male,Norway
1921,Peace,male,Karl Hjalmar Branting,Individual,male,Sweden
1921,Physics,male,Albert Einstein,Individual,male,Germany
1922,Chemistry,male,Francis William Aston,Individual,male,United Kingdom
1922,Literature,male,Jacinto Benavente,Individual,male,Spain
1922,Peace,male,Fridtjof Nansen,Individual,male,Norway
1922,Physics,male,Niels Henrik David Bohr,Individual,male,Denmark
1922,Physiology or Medicine,male,Archibald Vivian Hill,Individual,male,United Kingdom
1922,Physiology or Medicine,male,Otto Fritz Meyerhof,Individual,male,Germany
1923,Chemistry,male,Fritz Pregl,Individual,male,Slovenia
1923,Literature,male,William Butler Yeats,Individual,male,Ireland
1923,Physics,male,Robert Andrews Millikan,Individual,male,United States of America
1923,Physiology or Medicine,male,Frederick Grant Banting,Individual,male,Canada
1923,Physiology or Medicine,male,John James Rickard Macleod,Individual,male,Scotland
1924,Literature,male,Wladyslaw Stanislaw Reymont,Individual,male,Poland
1924,Physics,male,Karl Manne Georg Siegbahn,Individual,male,Sweden
1924,Physiology or Medicine,male,Willem Einthoven,Individual,male,Indonesia
1925,Chemistry,male,Richard Adolf Zsigmondy,Individual,male,Austria
1925,Literature,male,George Bernard Shaw,Individual,male,Ireland
1925,Peace,male,Charles Gates Dawes,Individual,male,United States of America
1925,Peace,male,Sir Austen Chamberlain,Individual,male,United Kingdom
1925,Physics,male,Gustav Ludwig Hertz,Individual,male,Germany
1925,Physics,male,James Franck,Individual,male,Germany
1926,Chemistry,male,The (Theodor) Svedberg,Individual,male,Sweden
1926,Literature,female,Grazia Deledda,Individual,female,Italy
1926,Peace,male,Aristide Briand,Individual,male,France
1926,Peace,male,Gustav Stresemann,Individual,male,Germany
1926,Physics,male,Jean Baptiste Perrin,Individual,male,France
1926,Physiology or Medicine,male,Johannes Andreas Grib Fibiger,Individual,male,Denmark
1927,Chemistry,male,Heinrich Otto Wieland,Individual,male,Germany
1927,Literature,male,Henri Bergson,Individual,male,France
1927,Peace,male,Ferdinand Buisson,Individual,male,France
1927,Peace,male,Ludwig Quidde,Individual,male,Germany
1927,Physics,male,Arthur Holly Compton,Individual,male,United States of America
1927,Physics,male,Charles Thomson Rees Wilson,Individual,male,Scotland
1927,Physiology or Medicine,male,Julius Wagner-Jauregg,Individual,male,Austria
1928,Chemistry,male,Adolf Otto Reinhold Windaus,Individual,male,Germany
1928,Literature,female,Sigrid Undset,Individual,female,Denmark
1928,Physics,male,Owen Willans Richardson,Individual,male,United Kingdom
1928,Physiology or Medicine,male,Charles Jules Henri Nicolle,Individual,male,France
1929,Chemistry,male,Arthur Harden,Individual,male,United Kingdom
1929,Chemistry,male,Hans Karl August Simon von Euler-Chelpin,Individual,male,Germany
1929,Literature,male,Thomas Mann,Individual,male,Germany
1929,Peace,male,Frank Billings Kellogg,Individual,male,United States of America
1929,Physics,male,Prince Louis-Victor Pierre Raymond de Broglie,Individual,male,France
1929,Physiology or Medicine,male,Christiaan Eijkman,Individual,male,Netherlands
1929,Physiology or Medicine,male,Sir Frederick Gowland Hopkins,Individual,male,United Kingdom
1930,Chemistry,male,Hans Fischer,Individual,male,Germany
1930,Literature,male,Sinclair Lewis,Individual,male,United States of America
1930,Peace,male,Lars Olof Jonathan (Nathan) S??derblom,Individual,male,Sweden
1930,Physics,male,Sir Chandrasekhara Venkata Raman,Individual,male,India
1930,Physiology or Medicine,male,Karl Landsteiner,Individual,male,Austria
1931,Chemistry,male,Carl Bosch,Individual,male,Germany
1931,Chemistry,male,Friedrich Bergius,Individual,male,Poland
1931,Literature,male,Erik Axel Karlfeldt,Individual,male,Sweden
1931,Peace,female,Jane Addams,Individual,female,United States of America
1931,Peace,male,Nicholas Murray Butler,Individual,male,United States of America
1931,Physiology or Medicine,male,Otto Heinrich Warburg,Individual,male,Germany
1932,Chemistry,male,Irving Langmuir,Individual,male,United States of America
1932,Literature,male,John Galsworthy,Individual,male,United Kingdom
1932,Physics,male,Werner Karl Heisenberg,Individual,male,Germany
1932,Physiology or Medicine,male,Edgar Douglas Adrian,Individual,male,United Kingdom
1932,Physiology or Medicine,male,Sir Charles Scott Sherrington,Individual,male,United Kingdom
1933,Literature,male,Ivan Alekseyevich Bunin,Individual,male,Russia
1933,Peace,male,Sir Norman Angell (Ralph Lane),Individual,male,United Kingdom
1933,Physics,male,Erwin Schrîdinger,Individual,male,Austria
1933,Physics,male,Paul Adrien Maurice Dirac,Individual,male,United Kingdom
1933,Physiology or Medicine,male,Thomas Hunt Morgan,Individual,male,United States of America
1934,Chemistry,male,Harold Clayton Urey,Individual,male,United States of America
1934,Literature,male,Luigi Pirandello,Individual,male,Italy
1934,Peace,male,Arthur Henderson,Individual,male,Scotland
1934,Physiology or Medicine,male,George Hoyt Whipple,Individual,male,United States of America
1934,Physiology or Medicine,male,George Richards Minot,Individual,male,United States of America
1934,Physiology or Medicine,male,William Parry Murphy,Individual,male,United States of America
1935,Chemistry,male,Fr??d??ric Joliot,Individual,male,France
1935,Chemistry,female,Ir??ne Joliot-Curie,Individual,female,France
1935,Peace,male,Carl von Ossietzky,Individual,male,Germany
1935,Physics,male,James Chadwick,Individual,male,United Kingdom
1935,Physiology or Medicine,male,Hans Spemann,Individual,male,Germany
1936,Chemistry,male,Petrus (Peter) Josephus Wilhelmus Debye,Individual,male,Netherlands
1936,Literature,male,Eugene Gladstone O'Neill,Individual,male,United States of America
1936,Peace,male,Carlos Saavedra Lamas,Individual,male,Argentina
1936,Physics,male,Carl David Anderson,Individual,male,United States of America
1936,Physics,male,Victor Franz Hess,Individual,male,Austria
1936,Physiology or Medicine,male,Otto Loewi,Individual,male,Germany
1936,Physiology or Medicine,male,Sir Henry Hallett Dale,Individual,male,United Kingdom
1937,Chemistry,male,Walter Norman Haworth,Individual,male,United Kingdom
1937,Chemistry,male,Paul Karrer,Individual,male,Russia
1937,Literature,male,Roger Martin du Gard,Individual,male,France
1937,Peace,male,"Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood",Individual,male,United Kingdom
1937,Physics,male,Clinton Joseph Davisson,Individual,male,United States of America
1937,Physics,male,George Paget Thomson,Individual,male,United Kingdom
1937,Physiology or Medicine,male,Albert Szent-Gyîrgyi,Individual,male,Hungary
1938,Chemistry,male,Richard Kuhn,Individual,male,Austria
1938,Literature,female,Pearl Buck,Individual,female,United States of America
1938,Peace,,,Organization,,
1938,Physics,male,Enrico Fermi,Individual,male,Italy
1938,Physiology or Medicine,male,Corneille Jean Fran??ois Heymans,Individual,male,Belgium
1939,Chemistry,male,Adolf Friedrich Johann Butenandt,Individual,male,Germany
1939,Chemistry,male,Leopold Ruzicka,Individual,male,Croatia
1939,Literature,male,Frans Eemil SillanpÑÑ,Individual,male,Finland
1939,Physics,male,Ernest Orlando Lawrence,Individual,male,United States of America
1939,Physiology or Medicine,male,Gerhard Domagk,Individual,male,Poland
1943,Chemistry,male,George de Hevesy,Individual,male,Hungary
1943,Physics,male,Otto Stern,Individual,male,Poland
1943,Physiology or Medicine,male,Edward Adelbert Doisy,Individual,male,United States of America
1943,Physiology or Medicine,male,Henrik Carl Peter Dam,Individual,male,Denmark
1944,Chemistry,male,Otto Hahn,Individual,male,Germany
1944,Literature,male,Johannes Vilhelm Jensen,Individual,male,Denmark
1944,Peace,,,Organization,,
1944,Physics,male,Isidor Isaac Rabi,Individual,male,Poland
1944,Physiology or Medicine,male,Herbert Spencer Gasser,Individual,male,United States of America
1944,Physiology or Medicine,male,Joseph Erlanger,Individual,male,United States of America
1945,Chemistry,male,Artturi Ilmari Virtanen,Individual,male,Finland
1945,Literature,female,Gabriela Mistral,Individual,female,Chile
1945,Peace,male,Cordell Hull,Individual,male,United States of America
1945,Physics,male,Wolfgang Pauli,Individual,male,Austria
1945,Physiology or Medicine,male,Ernst Boris Chain,Individual,male,Germany
1945,Physiology or Medicine,male,Sir Alexander Fleming,Individual,male,Scotland
1945,Physiology or Medicine,male,Sir Howard Walter Florey,Individual,male,Australia
1946,Chemistry,male,James Batcheller Sumner,Individual,male,United States of America
1946,Chemistry,male,John Howard Northrop,Individual,male,United States of America
1946,Chemistry,male,Wendell Meredith Stanley,Individual,male,United States of America
1946,Literature,male,Hermann Hesse,Individual,male,Germany
1946,Peace,female,Emily Greene Balch,Individual,female,United States of America
1946,Peace,male,John Raleigh Mott,Individual,male,United States of America
1946,Physics,male,Percy Williams Bridgman,Individual,male,United States of America
1946,Physiology or Medicine,male,Hermann Joseph Muller,Individual,male,United States of America
1947,Chemistry,male,Sir Robert Robinson,Individual,male,United Kingdom
1947,Literature,male,Andr?? Paul Guillaume Gide,Individual,male,France
1947,Peace,,,Organization,,
1947,Peace,,,Organization,,
1947,Physics,male,Sir Edward Victor Appleton,Individual,male,United Kingdom
1947,Physiology or Medicine,male,Bernardo Alberto Houssay,Individual,male,Argentina
1947,Physiology or Medicine,male,Carl Ferdinand Cori,Individual,male,Czech Republic
1947,Physiology or Medicine,female,"Gerty Theresa Cori, n??e Radnitz",Individual,female,Czech Republic
1948,Chemistry,male,Arne Wilhelm Kaurin Tiselius,Individual,male,Sweden
1948,Literature,male,Thomas Stearns Eliot,Individual,male,United States of America
1948,Physics,male,Patrick Maynard Stuart Blackett,Individual,male,United Kingdom
1948,Physiology or Medicine,male,Paul Hermann M?¨ller,Individual,male,Switzerland
1949,Chemistry,male,William Francis Giauque,Individual,male,Canada
1949,Literature,male,William Faulkner,Individual,male,United States of America
1949,Peace,male,"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",Individual,male,Scotland
1949,Physics,male,Hideki Yukawa,Individual,male,Japan
1949,Physiology or Medicine,male,Antonio Caetano de Abreu Freire Egas Moniz,Individual,male,Portugal
1949,Physiology or Medicine,male,Walter Rudolf Hess,Individual,male,Switzerland
1950,Chemistry,male,Kurt Alder,Individual,male,Poland
1950,Chemistry,male,Otto Paul Hermann Diels,Individual,male,Germany
1950,Literature,male,Earl (Bertrand Arthur William) Russell,Individual,male,United Kingdom
1950,Peace,male,Ralph Bunche,Individual,male,United States of America
1950,Physics,male,Cecil Frank Powell,Individual,male,United Kingdom
1950,Physiology or Medicine,male,Edward Calvin Kendall,Individual,male,United States of America
1950,Physiology or Medicine,male,Philip Showalter Hench,Individual,male,United States of America
1950,Physiology or Medicine,male,Tadeus Reichstein,Individual,male,Poland
1951,Chemistry,male,Edwin Mattison McMillan,Individual,male,United States of America
1951,Chemistry,male,Glenn Theodore Seaborg,Individual,male,United States of America
1951,Literature,male,P??r Fabian Lagerkvist,Individual,male,Sweden
1951,Peace,male,L??on Jouhaux,Individual,male,France
1951,Physics,male,Ernest Thomas Sinton Walton,Individual,male,Ireland
1951,Physics,male,Sir John Douglas Cockcroft,Individual,male,United Kingdom
1951,Physiology or Medicine,male,Max Theiler,Individual,male,South Africa
1952,Chemistry,male,Archer John Porter Martin,Individual,male,United Kingdom
1952,Chemistry,male,Richard Laurence Millington Synge,Individual,male,United Kingdom
1952,Literature,male,Fran??ois Mauriac,Individual,male,France
1952,Peace,male,Albert Schweitzer,Individual,male,France
1952,Physics,male,Edward Mills Purcell,Individual,male,United States of America
1952,Physics,male,Felix Bloch,Individual,male,Switzerland
1952,Physiology or Medicine,male,Selman Abraham Waksman,Individual,male,Ukraine
1953,Chemistry,male,Hermann Staudinger,Individual,male,Germany
1953,Literature,male,Sir Winston Leonard Spencer Churchill,Individual,male,United Kingdom
1953,Peace,male,George Catlett Marshall,Individual,male,United States of America
1953,Physics,male,Frits Zernike,Individual,male,Netherlands
1953,Physiology or Medicine,male,Fritz Albert Lipmann,Individual,male,Russia
1953,Physiology or Medicine,male,Hans Adolf Krebs,Individual,male,Germany
1954,Chemistry,male,Linus Carl Pauling,Individual,male,United States of America
1954,Literature,male,Ernest Miller Hemingway,Individual,male,United States of America
1954,Peace,,,Organization,,
1954,Physics,male,Max Born,Individual,male,Poland
1954,Physics,male,Walther Bothe,Individual,male,Germany
1954,Physiology or Medicine,male,Frederick Chapman Robbins,Individual,male,United States of America
1954,Physiology or Medicine,male,John Franklin Enders,Individual,male,United States of America
1954,Physiology or Medicine,male,Thomas Huckle Weller,Individual,male,United States of America
1955,Chemistry,male,Vincent du Vigneaud,Individual,male,United States of America
1955,Literature,male,Halld??r Kiljan Laxness,Individual,male,Iceland
1955,Physics,male,Polykarp Kusch,Individual,male,Germany
1955,Physics,male,Willis Eugene Lamb,Individual,male,United States of America
1955,Physiology or Medicine,male,Axel Hugo Theodor Theorell,Individual,male,Sweden
1956,Chemistry,male,Nikolay Nikolaevich Semenov,Individual,male,Russia
1956,Chemistry,male,Sir Cyril Norman Hinshelwood,Individual,male,United Kingdom
1956,Literature,male,Juan Ram??n Jim??nez,Individual,male,Spain
1956,Physics,male,John Bardeen,Individual,male,United States of America
1956,Physics,male,Walter Houser Brattain,Individual,male,China
1956,Physics,male,William Bradford Shockley,Individual,male,United Kingdom
1956,Physiology or Medicine,male,Andr?? Fr??d??ric Cournand,Individual,male,France
1956,Physiology or Medicine,male,Dickinson W. Richards,Individual,male,United States of America
1956,Physiology or Medicine,male,Werner Forssmann,Individual,male,Germany
1957,Chemistry,male,Lord (Alexander R.) Todd,Individual,male,Scotland
1957,Literature,male,Albert Camus,Individual,male,Algeria
1957,Peace,male,Lester Bowles Pearson,Individual,male,Canada
1957,Physics,male,Chen Ning Yang,Individual,male,China
1957,Physics,male,Tsung-Dao (T.D.) Lee,Individual,male,China
1957,Physiology or Medicine,male,Daniel Bovet,Individual,male,Switzerland
1958,Chemistry,male,Frederick Sanger,Individual,male,United Kingdom
1958,Literature,male,Boris Leonidovich Pasternak,Individual,male,Russia
1958,Peace,male,Georges Pire,Individual,male,Belgium
1958,Physics,male,Igor Yevgenyevich Tamm,Individual,male,Russia
1958,Physics,male,Il??ja Mikhailovich Frank,Individual,male,Russia
1958,Physics,male,Pavel Alekseyevich Cherenkov,Individual,male,Russia
1958,Physiology or Medicine,male,Edward Lawrie Tatum,Individual,male,United States of America
1958,Physiology or Medicine,male,George Wells Beadle,Individual,male,United States of America
1958,Physiology or Medicine,male,Joshua Lederberg,Individual,male,United States of America
1959,Chemistry,male,Jaroslav Heyrovsky,Individual,male,Czech Republic
1959,Literature,male,Salvatore Quasimodo,Individual,male,Italy
1959,Peace,male,Philip J. Noel-Baker,Individual,male,United Kingdom
1959,Physics,male,Emilio Gino Segr??,Individual,male,Italy
1959,Physics,male,Owen Chamberlain,Individual,male,United States of America
1959,Physiology or Medicine,male,Arthur Kornberg,Individual,male,United States of America
1959,Physiology or Medicine,male,Severo Ochoa,Individual,male,Spain
